id_evento,fonte,objeto,id_objeto,nome_host,horario,ns,id_evento_resolvido,horario_resolvido,ns_resolvido,id_correlacao,id_usuario,descricao,reconhecido,severidade,id_evento_causa,dados_operacao,reconhecimentos,dados_supressao,supresso,tags
6567303,0,0,294112,NET001HOMLNX051,2024-09-14 13:48:54,546361889,0,1969-12-31 21:00:00,0,0,0,High CPU utilization (over 95% for 30m),0,Disaster,0,Current utilization: 95.4303 %,[],[],0,"[{'tag': 'AMBIENTE', 'value': 'RESIDENCIAL'}, {'tag': 'event', 'value': 'high-cpu'}]"
6567186,0,0,296524,BRUX1167,2024-09-14 13:37:30,242499697,6567660,2024-09-14 14:12:30,210315993,0,0,High memory utilization (>95% for 30m),0,Disaster,0,,[],[],0,"[{'tag': 'AMBIENTE', 'value': 'MOVEL'}, {'tag': 'event', 'value': 'high-memory'}]"
6566599,0,0,282073,Zabbix Server,2024-09-14 12:56:23,926997475,0,1969-12-31 21:00:00,0,0,0,/var 100% de uso,0,Disaster,0,,[],[],0,"[{'tag': 'class', 'value': 'os'}, {'tag': 'component', 'value': 'postgreSQL'}, {'tag': 'target', 'value': 'linux'}]"
6560988,0,0,237167,BRUX0234_CPC4_D01AMS,2024-09-14 07:00:46,213323376,0,1969-12-31 21:00:00,0,0,0,BD CPC4 (D01AMS) is down.,0,Disaster,0,,[],[],0,"[{'tag': 'server_cod', 'value': '181'}, {'tag': 'uni_org_cod', 'value': '1'}]"
6560964,0,0,237023,BRUX0234_CPC5_D01AMS,2024-09-14 07:00:27,490404778,0,1969-12-31 21:00:00,0,0,0,BD ATLWFWO (T00DB3) is down.,0,Disaster,0,,[],[],0,"[{'tag': 'server_cod', 'value': '181'}, {'tag': 'uni_org_cod', 'value': '1'}]"
6560941,0,0,237221,BRUX0234_CPC12_D01AMS,2024-09-14 07:00:15,43580716,0,1969-12-31 21:00:00,0,0,0,BD CPC12 (D01AMS)  is down.,0,Disaster,0,,[],[],0,"[{'tag': 'server_cod', 'value': '181'}, {'tag': 'uni_org_cod', 'value': '1'}]"
6560940,0,0,237190,BRUX0234_CPC6_D01AMS,2024-09-14 07:00:15,90916886,0,1969-12-31 21:00:00,0,0,0,BD CPC6 (D01AMS) is down.,0,Disaster,0,,[],[],0,"[{'tag': 'server_cod', 'value': '181'}, {'tag': 'uni_org_cod', 'value': '1'}]"
6560785,0,0,293701,NDCINGFLD002,2024-09-13 21:54:53,43699870,0,1969-12-31 21:00:00,0,0,0,Load average is too high (per CPU load over 2.5 for 10m),0,High,0,"Load averages(1m 5m 15m): (6.1333 3.45 3.3222), # of CPUs: 2",[],[],0,"[{'tag': 'AMBIENTE', 'value': 'RESIDENCIAL'}, {'tag': 'server_cod', 'value': '4441'}, {'tag': 'uni_org_cod', 'value': '1'}]"
6552447,0,0,256081,BRUX1587_WL_Porta9103_ManagedServerSpnSoa103,2024-09-13 13:29:44,941304245,0,1969-12-31 21:00:00,0,0,0,Sem comunicação via SNMP,0,High,0,,[],[],0,"[{'tag': 'server_cod', 'value': '2752'}, {'tag': 'uni_org_cod', 'value': '1'}]"
6552438,0,0,254899,BRUX1587_WL_Porta9104_ManagedServerSpnAdmin104,2024-09-13 13:28:44,261841563,0,1969-12-31 21:00:00,0,0,0,Sem comunicação via SNMP,0,High,0,,[],[],0,"[{'tag': 'server_cod', 'value': '2752'}, {'tag': 'uni_org_cod', 'value': '1'}]"
